User,UPN,Country,Department,Title,Licenses,Disabled Plans
Adele Vance,AdeleV@vxcnx.onmicrosoft.com,United States,Retail,Retail Manager,DEVELOPERPACK_E5,
Joi Jons,admin-alitis01@vxcnx.onmicrosoft.com,,,,DEVELOPERPACK_E5,
Alex Wilber,AlexW@vxcnx.onmicrosoft.com,United States,Marketing,Marketing Assistant,DEVELOPERPACK_E5,
Diego Siciliani,DiegoS@vxcnx.onmicrosoft.com,United States,HR,HR Manager,DEVELOPERPACK_E5,
Grady Archie,GradyA@vxcnx.onmicrosoft.com,United States,R&D,Designer,DEVELOPERPACK_E5,
Henrietta Mueller,HenriettaM@vxcnx.onmicrosoft.com,United States,R&D,Developer,DEVELOPERPACK_E5,
Isaiah Langer,IsaiahL@vxcnx.onmicrosoft.com,United States,Sales,Sales Rep,DEVELOPERPACK_E5,
Johanna Lorenz,JohannaL@vxcnx.onmicrosoft.com,United States,Engineering,Senior Engineer,DEVELOPERPACK_E5,
Joni Sherman,JoniS@vxcnx.onmicrosoft.com,United States,Legal,Paralegal,DEVELOPERPACK_E5,
Lee Gu,LeeG@vxcnx.onmicrosoft.com,United States,Manufacturing,Director,DEVELOPERPACK_E5,
Lidia Holloway,LidiaH@vxcnx.onmicrosoft.com,United States,Engineering,Product Manager,DEVELOPERPACK_E5,
Lynne Robbins,LynneR@vxcnx.onmicrosoft.com,United States,Retail,Planner,DEVELOPERPACK_E5,
Megan Bowen,MeganB@vxcnx.onmicrosoft.com,United States,Marketing,Marketing Manager,DEVELOPERPACK_E5,
Miriam Graham,MiriamG@vxcnx.onmicrosoft.com,United States,Sales & Marketing,Director,DEVELOPERPACK_E5,
Nestor Wilke,NestorW@vxcnx.onmicrosoft.com,United States,Operations,Director,DEVELOPERPACK_E5,
Patti Fernandez,PattiF@vxcnx.onmicrosoft.com,United States,Executive Management,President,DEVELOPERPACK_E5,
Pradeep Gupta,PradeepG@vxcnx.onmicrosoft.com,Egypt,Finance,Accountant,DEVELOPERPACK_E5,
Student 1,Student_1@vxcnx.onmicrosoft.com,,,,,

