"DisplayName","UserPrincipalName","UsageLocation","Contry","LastSignInDateTime","IsLicensed","IsGuestUser"
"Adele Vance","AdeleV@blabla.com","US","United States",,"True","False"
"Alex Wilber","AlexW@blabla.com","US","United States",,"True","False"
"Diego Siciliani","DiegoS@blabla.com","US","United States",,"True","False"
"Grady Archie","GradyA@blabla.com","US","United States",,"True","False"
"Henrietta Mueller","HenriettaM@blabla.com","US","United States",,"True","False"
"Isaiah Langer","IsaiahL@blabla.com","US","United States",,"True","False"
"Johanna Lorenz","JohannaL@blabla.com","US","United States",,"True","False"
"Joni Sherman","JoniS@blabla.com","US","United States",,"True","False"
"Lee Gu","LeeG@blabla.com","US","United States",,"True","False"
"Lidia Holloway","LidiaH@blabla.com","US","United States",,"True","False"
"Lynne Robbins","LynneR@blabla.com","US","United States",,"True","False"
"Megan Bowen","MeganB@blabla.com","US","United States",,"True","False"
"Miriam Graham","MiriamG@blabla.com","US","United States",,"True","False"
"Nestor Wilke","NestorW@blabla.com","US","United States",,"True","False"
"Patti Fernandez","PattiF@blabla.com","US","United States",,"True","False"
"Pradeep Gupta","PradeepG@blabla.com","US","Egypt",,"True","False"
"Student 1","Student_1@blabla.com",,,,"False","False"

