User,UPN,Country,Department,Title,Licenses,Disabled Plans
Adele Vance,AdeleV@blabla.com,United States,Retail,Retail Manager,DEVELOPERPACK_E5,
Alex Wilber,AlexW@blabla.com,United States,Marketing,Marketing Assistant,DEVELOPERPACK_E5,
Diego Siciliani,DiegoS@blabla.com,United States,HR,HR Manager,DEVELOPERPACK_E5,
Grady Archie,GradyA@blabla.com,United States,R&D,Designer,DEVELOPERPACK_E5,
Henrietta Mueller,HenriettaM@blabla.com,United States,R&D,Developer,DEVELOPERPACK_E5,
Isaiah Langer,IsaiahL@blabla.com,United States,Sales,Sales Rep,DEVELOPERPACK_E5,
Johanna Lorenz,JohannaL@blabla.com,United States,Engineering,Senior Engineer,DEVELOPERPACK_E5,
Joni Sherman,JoniS@blabla.com,United States,Legal,Paralegal,DEVELOPERPACK_E5,
Lee Gu,LeeG@blabla.com,United States,Manufacturing,Director,DEVELOPERPACK_E5,
Lidia Holloway,LidiaH@blabla.com,United States,Engineering,Product Manager,DEVELOPERPACK_E5,
Lynne Robbins,LynneR@blabla.com,United States,Retail,Planner,DEVELOPERPACK_E5,
Megan Bowen,MeganB@blabla.com,United States,Marketing,Marketing Manager,DEVELOPERPACK_E5,
Miriam Graham,MiriamG@blabla.com,United States,Sales & Marketing,Director,DEVELOPERPACK_E5,
Nestor Wilke,NestorW@blabla.com,United States,Operations,Director,DEVELOPERPACK_E5,
Patti Fernandez,PattiF@blabla.com,United States,Executive Management,President,DEVELOPERPACK_E5,
Pradeep Gupta,PradeepG@blabla.com,Egypt,Finance,Accountant,DEVELOPERPACK_E5,
Student 1,Student_1@blabla.com,,,,,

